allowEditableEmbedding	allowOutlines	allowPDFEmbedding	fontFamily	fontStyleName	fontStyleNameNative	fontType	name	fullName	fullNameNative	postscriptName
True	True	True	游ゴシック体 Pr6N	L	L	k.OpenType_CID	游ゴシック体 Pr6N	L	Yu Gothic Pr6N L	游ゴシック体 Pr6N L	
True	True	True	游明朝体 Pr6N	L	L	k.OpenType_CID	游明朝体 Pr6N	L	Yu Mincho Pr6N L	游明朝体 Pr6N L	
True	True	True	游明朝体 Pr6N	R	R	k.OpenType_CID	游明朝体 Pr6N	R	Yu Mincho Pr6N R	游明朝体 Pr6N R	
True	True	True	游明朝体 Pr6N	M	M	k.OpenType_CID	游明朝体 Pr6N	M	Yu Mincho Pr6N M	游明朝体 Pr6N M	
True	True	True	游明朝体 Pr6N	D	D	k.OpenType_CID	游明朝体 Pr6N	D	Yu Mincho Pr6N D	游明朝体 Pr6N D	
True	True	True	游明朝体 StdN	B	B	k.OpenType_CID	游明朝体 StdN	B	Yu Mincho StdN B	游明朝体 StdN B	
True	True	True	游明朝体 StdN	E	E	k.OpenType_CID	游明朝体 StdN	E	Yu Mincho StdN E	游明朝体 StdN E	
True	True	True	源ノ明朝	Regular	Regular	k.OpenType_CID	源ノ明朝	Regular	Source Han Serif	源ノ明朝 Regular	
True	True	True	源ノ明朝	SemiBold	SemiBold	k.OpenType_CID	源ノ明朝	SemiBold	Source Han Serif SemiBold	源ノ明朝 SemiBold	
True	True	True	源ノ角ゴシック	Normal	Normal	k.OpenType_CID	源ノ角ゴシック	Normal	Source Han Sans Normal	源ノ角ゴシック Normal	
True	True	True	源ノ角ゴシック	Bold	Bold	k.OpenType_CID	源ノ角ゴシック	Bold	Source Han Sans Bold	源ノ角ゴシック Bold	
True	True	True	Abadi MT Condensed Light	Regular	Regular	k.OpenType_TT	Abadi MT Condensed Light	Regular	Abadi MT Condensed Light	Abadi MT Condensed Light	
True	True	True	Academy Engraved LET	Plain	Plain	k.TrueType	Academy Engraved LET	Plain	Academy Engraved LET Plain:1.0	Academy Engraved LET Plain:1.0	
False	True	True	American Typewriter	Condensed Light	Condensed Light	k.TrueType	American Typewriter	Condensed Light	American Typewriter Condensed Light	American Typewriter Condensed Light	
False	True	True	American Typewriter	Condensed	Condensed	k.TrueType	American Typewriter	Condensed	American Typewriter Condensed	American Typewriter Condensed	
False	True	True	American Typewriter	Condensed Bold	Condensed Bold	k.TrueType	American Typewriter	Condensed Bold	American Typewriter Condensed Bold	American Typewriter Condensed Bold	
False	True	True	American Typewriter	Light	Light	k.TrueType	American Typewriter	Light	American Typewriter Light	American Typewriter Light	
False	True	True	American Typewriter	Regular	Regular	k.TrueType	American Typewriter	Regular	American Typewriter	American Typewriter	
False	True	True	American Typewriter	Semibold	Semibold	k.TrueType	American Typewriter	Semibold	American Typewriter Semibold	American Typewriter Semibold	
False	True	True	American Typewriter	Bold	Bold	k.TrueType	American Typewriter	Bold	American Typewriter Bold	American Typewriter Bold	
True	True	True	Andale Mono	Regular	Regular	k.OpenType_TT	Andale Mono	Regular	Andale Mono	Andale Mono	
True	True	True	Apple Braille	Outline 6 Dot	Outline 6 Dot	k.TrueType	Apple Braille	Outline 6 Dot	Apple Braille Outline 6 Dot	Apple Braille Outline 6 Dot	
True	True	True	Apple Braille	Outline 8 Dot	Outline 8 Dot	k.TrueType	Apple Braille	Outline 8 Dot	Apple Braille Outline 8 Dot	Apple Braille Outline 8 Dot	
